district,mandal,panchayat,num,lon,lat,alt,acc,drumseeded,dup,sort_rand,masked_id
"NAGARKURNOOL","UPPUNUNTHALA","Marripally",7,78.550256,16.4576567,358.7537841796875,3.9,0,0,.036379617,152
"NAGARKURNOOL","BALMOOR","Banala",6,78.6298085,16.317377,498.3,3.021,1,0,.036622908,107
"JAGTIAL","GOLLAPALLE","Bonkur",7,79.1093565,18.8325327,115,5.6,0,1,.037865862,272
"MAHABUBNAGAR","NAWABPET","Pallegadda",4,78.0234219,16.9194527,550.511,4.92,0,3,.037991248,74
"WANAPARTHY","WANAPARTHY","Chimanguntapally",9,78.1043366,16.4221709,344.2,3.9,1,0,.038655419,191
"JAGTIAL","IBRAHIMPATNAM","Eradandi",5,78.5649851,18.9458987,297,3.9,0,0,.038699809,287
"NAGARKURNOOL","PEDDAKOTHAPALLE","Gantraopally",12,78.3041918,16.223135,271.8311157226563,3.9,0,2,.039632421,133
"MAHABUBNAGAR","MAHABUBNAGAR RURAL","Oblaipalle",10,77.88354769999999,16.6599968,345.265,8.622999999999999,0,0,.039799772,64
"JAGTIAL","DHARMAPURI","Thimmapoor",2,79.1149736,18.9121722,96,4.039,0,0,.039828703,271
"NAGARKURNOOL","BALMOOR","Kondanagula",5,78.59780120000001,16.3323044,481.1,3.9,0,0,.039876755,109
"NAGARKURNOOL","ACHAMPET","Pulazala",6,78.65319959999999,16.4488928,368.7779541015625,3.9,1,0,.040015999,89
"MAHABUBNAGAR","CHINNA CHINTHA KUNTA","Appampalle",14,77.8105264,16.4942232,275.45,6.75,0,2,.040059045,39
"KARIMNAGAR","HUZURABAD","Peddapapaiahpalli",8,79.4288545,18.1823538,269,3.9,0,1,.040369745,238
"PEDDAPALLI","SULTANABAD","Ramunipalli",6,79.38121839999999,18.4888851,165.1,26.244,1,0,.04040068,370
"JAGTIAL","DHARMAPURI","Jaina",2,79.082753,19.0152783,174.3,3.16,0,0,.040654011,269
"MAHABUBNAGAR","NAWABPET","Karkonda",6,78.0433025,16.8476941,522.8,3.9,0,1,.040713493,81
"JAGTIAL","RAIKAL","Alipur",2,78.86788540000001,18.8725647,295.7,3.9,0,0,.040904634,344
"NAGARKURNOOL","TELKAPALLY","Alair",5,78.450164,16.3764796,382.6354370117188,4.363,0,0,.041076683,147
"KARIMNAGAR","GANGADHARA","Sarvareddypally",9,79.0727595,18.6215383,236.3843383789063,3.48,1,1,.041202635,225
"WANAPARTHY","WANAPARTHY","Chimanguntapally",2,78.0925675,16.41717,319.715,9.234,1,0,.041296203,193
"JAGTIAL","KORUTLA","Madhapur",6,78.7424649,18.8482587,207,3.344,0,0,.041405231,309
"JAGTIAL","BUGGARAM","Shekalla",4,79.07318909999999,18.8545239,198.8,4.3,1,1,.041698899,268
"KARIMNAGAR","KARIMNAGAR RURAL","Gopalpoor",46,79.16996330000001,18.4629522,0,1793.725,1,3,.041703708,246
"KARIMNAGAR","MANAKONDUR","Munjampally",9,79.1877324,18.3820427,192.6246948242188,4.855,0,0,.041943535,249
"KARIMNAGAR","KARIMNAGAR RURAL","Cherlabuthkur",2,79.2117408,18.4827845,245.7,3.9,1,0,.04195372,244
"JAGTIAL","IBRAHIMPATNAM","Eradandi",4,78.5640093,18.9528724,281.5,3.516,0,0,.042184792,288
"WANAPARTHY","PANGAL","Remuddula",1,78.182554,16.3163833,416.3,3.9,1,2,.042483617,175
"JAGTIAL","MALLAPUR","Regunta",6,78.75389939999999,18.9454021,232.6,3.9,0,0,.042565912,321
"KARIMNAGAR","KARIMNAGAR RURAL","Gopalpoor",44,79.16996330000001,18.4629522,0,1793.725,1,3,.04285213,246
"KARIMNAGAR","GANGADHARA","Garshakurthy",6,78.9717706,18.5063383,253.6,3.9,0,1,.043070499,231
"WANAPARTHY","GOPALPET","Munnanoor",4,78.11656046658754,16.35470765558892,0,0,0,0,.043183077,172
"JAGTIAL","JAGTIAL RURAL","Thatipally",5,78.8439154,18.7949874,228,3.21,0,0,.043480363,302
"JAGTIAL","DHARMAPURI","Jaina",7,79.0827731,19.0155321,177.8,3.9,0,0,.043871537,269
"WANAPARTHY","WEEPANAGANDLA","Kalwarala",8,78.1356598,16.1619048,343,3.9,1,2,.044224765,197
