c3_crop_name_kharif,crop_name,varities_grown_khrf,varities_grown_rabi,varities_grown_khrf23,plant_date_kharif,plant_date_rabi,plant_date_sumr,plant_date_kharif23,key,crop_area_kharif23,crop_area_kharif,crop_area_rabi,crop_area_summer
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,Telangana Sona (RNR 15048),1,20jul2023,19dec2022,,20jul2023,uuid:07a5df41-1fb0-42ce-aa54-0f68f37fd686,1,1.55,1.55,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),99,Other,99,06aug2023,02jan2023,,02aug2023,uuid:07dd6fc1-58e5-485c-a5ed-b09584671f5f,2,5,5,0
1013,దమ్ము చెయ్యకుండా నేరుగా విత్తిన వరి (paddy),1,,12,20aug2022,,,01aug2023,uuid:07e42a8c-1472-42e2-bda9-0dc599f1944f,.375,.375,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,,1,15aug2022,,,15aug2023,uuid:07f3661b-3383-49db-87b9-37408b623701,1,1,0,0
1101,పత్తి,,,,,,,,uuid:07f3661b-3383-49db-87b9-37408b623701,1,0,0,0
1011,డ్రమ్ సీడర్ పధ్ధతి లో వరి ( drum seeder paddy),12,Cotton Dora Sannalu (MTU 1010),1,24aug2022,24nov2022,,29jul2023,uuid:0800b0e6-d394-4f87-9403-2b9ed6f42675,4,6,8,0
104,మొక్కజొన్న (Maize),,,,,,,,uuid:0800b0e6-d394-4f87-9403-2b9ed6f42675,0,0,0,0
1011,డ్రమ్ సీడర్ పధ్ధతి లో వరి ( drum seeder paddy),29,Telangana Sona (RNR 15048),99,23jul2023,13feb2023,,23jul2023,uuid:080adcd1-b1a4-450a-a241-082e407df4c6,3,3,2,0
188,other cereals,,,,,,,,uuid:080adcd1-b1a4-450a-a241-082e407df4c6,0,6.5,6.5,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,Telangana Sona (RNR 15048),1,20jul2022,01jan2023,,01jul2023,uuid:080b495e-6f4b-49cf-b4df-93b8ba3b0323,.5,.5,.5,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,Telangana Sona (RNR 15048),1,01jul2022,02jan2023,,20jul2023,uuid:080b495e-6f4b-49cf-b4df-93b8ba3b0323,.5,.5,.5,0
1013,దమ్ము చెయ్యకుండా నేరుగా విత్తిన వరి (paddy),12,Cotton Dora Sannalu (MTU 1010),99,09jun2022,08dec2022,,08jun2022,uuid:0832fd57-ff82-4a0c-83a8-14752cac3b66,4.5999999,4.5999999,4.5999999,0
1013,దమ్ము చెయ్యకుండా నేరుగా విత్తిన వరి (paddy),99,Cotton Dora Sannalu (MTU 1010),12,08jun2023,08dec2022,,08jun2023,uuid:0832fd57-ff82-4a0c-83a8-14752cac3b66,4.5999999,4.5999999,4.5,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,Telangana Sona (RNR 15048),32,13jul2022,19dec2022,,17aug2023,uuid:083ec5d1-b4dd-4526-94e7-49eb2d5e950d,3,3,3,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12,Cotton Dora Sannalu (MTU 1010),12,03jun2022,03nov2022,,05jun2023,uuid:083f5949-da2f-4d20-b1cb-52f79622faf5,2,2,2,0
1012,వెదజల్లిన పధ్ధతి లో  వరి  (paddy),12,,12,15aug2022,,,26aug2023,uuid:084972a7-cec4-4202-ab2d-65e6104a1415,10,10,0,0
1012,వెదజల్లిన పధ్ధతి లో  వరి  (paddy),12,,12,18jul2022,,,26jul2023,uuid:084972a7-cec4-4202-ab2d-65e6104a1415,10,10,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12,Cotton Dora Sannalu (MTU 1010),11,18jun2022,05dec2022,,14jun2023,uuid:085f0fa8-653c-419d-bf88-19f355e8dde4,1.5,1.5,1.5,0
